text,L1
yes it is easy.Because I usually be attention for every thing when I study.,Arabic
yes I think that because if it not capable so that animals dont preducer nay animal,Arabic
annoyed,Chinese
" THE MUSIC

 There is different music in different country. The music is not the same. It has a lot of music in the same country .First of all, the love music .I thing most of people listen these music ,because the people likes to listen the love music and they are feeling confertable.When they are Listening the love music .Second ,the romantic music . Wow I like that music this is perfect. I thank all the person likes to know this music, because they are feeling better and convenient. Finally, the music classic is also it has same people likes to listen this music. For example the people how live in U.S I think % 85 they are likes to listen to the music. When I went the bus I saw most of people listen the music. And most of people when they are going to study they are listen also the music can imagine. Now the music became ways to learn vocabulary. But in my country then the people need to learn Arabic .I say to his or her to listen the Quran. This is very easy to learn the language. The music is deferent to understand the word but the music this good. And the people also .So some people likes to listen the music all the day and same people don't likes to listen the music .Now all people likes to listen and Danes with the music.
",Arabic
"1. relationship (noun) : the way in which two people or groups behave toward each other
(it must be impossible to have a relationship)
2.career(noun) : a job or profession that you have been trained for and intend to do for a long time
(you have worked too hard to give up your career now)
3.insist (verb) : to demand that something happen
(but Vic insisted)
4.suitable (adj) : right or acceptable for a particular person, purpose, or situation
(ANON_NAME_0 will be a suitable guardian)
5.irresponsible : 
6.wonder 


 3F
 Tae fun.ANON_NAME_1
 Jau 30 07
",Korean
highly pungent odor,Chinese
"The ELI structure consist of five classes ;reading,grammar,listening,writing and speaking and many activities.",Arabic
I usually go to bed from 11 to 12 o'clock.,Korean
I usually go to sleep at 1:30 AM .,Arabic
"1. Smoothies: It sounds healthier, but guess what? .grazania smoothies, you don't know what's getting? have more calories. cheese burger with fried. more fat. They often times use, the same times, tenfold concentration, not fruit,
sweet yogurt
not figure out:
a. How about low-fat yogurt to used?
b. How about protein powder?
c. What's wrong with fresh fruit? frozen fruit.
sort out
 
2. Energy bars: a. a little new flesh; b. expensive candy bars, more calories, candy bars themselves. You can also get 500 calories, higher sugar, work 5 miles for average one person. Under 200 calories. At least 5g fiber. Please make sure protein there too.
 
3. Yogurt: fresh fruit, no fat. It sounds a good example, fruits stuff in there, a huge number sugar calories. What's wrong with plain yogurt? 
a. fresh fruit, for frozen fruit.
b. make sure none fat of low fat and service.

4. Chickpeas: a. if you look sth like chickpeas, would you have foods lots of salt. b. if bull done. salad salt shockers, olives, artichoche hearts, 24g fat

5. Pancakes: low fat means low calories and low sugar.
No.1 serving size, 3 sering size 33
No.2 It's very densy calories. You have to be very carefully about serving size
low muffin. Low fat means high sugar. read the label.",Chinese
"The topic is two similar restaurants you have been to.
 McDonald and Lotteria 
1. Sell many kinds of hamburger.
2. Wear similar uniform.
3. Taste.
4. Store interior.
5. Fast food.


There are many fast food restaurants in the world. America famous fast food restaurant McDonald was similar Korea famous fast food restaurant Lotteria. First, two restaurants have many kinds of hamburger and potato chips. McDonald and Lotteria have many kinds of same menu. So, there sell the coffee, coke, ice-cream and ice tea. Second, usually workers wear the uniforms color, design and worker service is very fast and kind. Finally, two restaurants have similar store interiors. Restaurants inside has tables and chairs look like same. Because, two restaurants have same color chairs and tables. Anyway, two restaurants have many similar things. But, I don't like fast food. So, I didn't go lots of time.
",Korean
"I think that cooking is my successful thing. I remember I could cook when I was 10. At that time, my parents both were busy. They always came home late. Sometimes I was very hungry after they had cooked. So I began to learn about how to cook. The first meal that I cooked had a terrible taste. I could not eat it, but my father encouraged me and told me how to cook. He was good at cooking. He could cook many delicious foods. He would teach me how to cook if he was free. I began interesting in cooking. I have read a lot of books about cooking since then. Now, I can cook many different foods.",Chinese
p2,Korean
"Yes.In China,women and men are equal in the society.",Chinese
We bow to elder man. but American don't bow.,Korean
"Tuition, room and board.",Arabic
"How to Make Scrambled Eggs

 Scrambled eggs are a quick and easy light meal. You need two fresh eggs, milk, butter, salt, and pepper. You also need a mixing bowl a tablespoon, a fork, and a frying pan. First, break the eggs into the bowl. Then add about three tablespoons of milk, the salt, and the pepper. Beat the mixture with a fork until it is well mixed. Next, melt a small piece of butter in the frying pan over low heat. Pour the egg mixture into the pan and let it heat through. Then turn up the heat slightly. As the eggs cook, push them around gently with the fork. When the scrambled eggs are done to perfection, they should be light and fluffy. In just a few minutes, you can sit down and enjoy your delicious meal.",Korean
If I can speak foreign langue well I can make foriegnr friends and can find good job in my country.,Korean
"Yes, I prefer to read interpretations of English books in Chinese. I will read fast.",Chinese
"The second benefit to studying English in the ELI is the city of Pittsburgh. This is a unique city that has a lot of features and characteristics . One of the most important feature is the weather . The weather in Pittsburgh is not too hot in the summer and not too cold in the winter because it contains a lot of mountains . It rains once a week , so the wether will changed thereafter . The second important feature in Pittsburgh is transportation . In this city there are very good public transportation that associate the whole parts of the city together. Also , there is free transportation by using  pitt ID. there are fewer cars . there is little traffic jam. In conclusion, the weather in Pittsburgh and its public transportation are two features that is absolutely enough to bring students to this city .",Arabic
"I like to say that ""just do it"" to a student who wants to obtain good grades at the ELI. ",Korean
It refer to Taiwan.,Arabic
" Yes, I do.",Chinese
May I used the phone ?,Arabic
"Type well is important because we need to write paragraphs for all classes, and sometimes we need to sent them to our teachers with computer .It is important because we will use computer for (TOFEL).",Arabic
He regularly take his tiger to the dry lack bed.,Chinese
"I think that the most important issue in the world today is Economy, because it causes many problems over the world.",Arabic
"Get your passport and visa early.
Learn some of the language. 
Learn about the money.
Bring some money and a credit card with you.",Arabic
 I get of the bad.,Korean
stinky tofu,Chinese
She is famous as a writer.,Chinese
"She dos not go to restaurants.
She makes meals withe her roommates.
She trys to walk or ride her bicycle to college.
She buys a lot of her clothes at second-hand.",Arabic
"The dormitory of LaRoche College has very good organization and is comfortable and convenient. After entering into the room, a washing stand is on the right. It's good working. Next to the washing stand, there is a bathroom. Although it is pretty small, it is clean. Accross the washing stand is clothes chest for two people. You can hang your many clothes on this large space. On both sides of the living room is two beds. If you see the beds, you will want to sleep because it looks comfortable. Beside two beds, you can see the drawers. At both coner of the room are the desks. It is also convenient for studying. This place will never give you inexpediency.",Korean
was able to,Korean
original between 16 and over,Arabic
My personality is calm . talkative . easy-going . and a little careless .,Chinese
" In Saudi Arabia there are three holidays. 






Thoese holidays are the only holidays in Saudi Arabia. ",Arabic
"My favorite restaurant is a small restaurant in my hometown. I go to this restaurant about 3 times each week because the food that was cooked by chef in this restaurant are very delicious. This restaurant is not very large and only have eight tables, so there has no more people in there. I like eating my dinner in a quiet place. This restaurant offer to simple chinese food. They are simple food that are common food in chinese family.But the taste is diffenert from common family.My favorite food in this restaurant is ""pepper frill meat"".",Chinese
" If i am going to live alone on deserted island. I should take much fresh water . Water is a life .I'll need two campasses for know directions.I think i should take several cooking pots. They are very important to cook food. I have to know some news, so i need one radio . The radio needs several betteries.I'll take a lot of betteries. ",Arabic
I wake up at 7:30. I eat breakfast at 8:00. I go to classd at 9:00 ,Korean
"I read newsaper,while I eat lunch.",Arabic
Bees are very useful to us.,Korean
"It is better to have a longer period and more thought than to respond an e-mail immediately. This is because, the more spend time on writing in detail, the more someone easily and fastly understand my thinking.
",Korean
"Mid-Autumn festival is a traditional holiday in china.At that day ,the famliy should be together to eat moon cake.",Chinese
Edison created an electric bulb.,Korean
is used to living,Chinese
I like SiChuan restaurant so much in my hometown. I like eat roasting fish in that restaurant.,Chinese
"2. If someone who is not familiar with me wins a million dollars, my reflection would be envious of the fortune. However, I couldn't ask him or her anything. I just think he or she is lucky, and then I dream such a fortune someday. ",Korean
[C],Arabic
he will finish his work,Korean
"Grammar 3 time capsule

There are five items to put in the capsule. For example, a lot of money, some dry food, a lot of photo pictures, one book, and two clothes.
When some researchers to find the time capsule in the future, it was called'' civilization life''. In sixty years ago, I put these items. In my opinion, money is important object until now. Maybe they still can use it or, they can find its difference.
Dry food is necessary to us in every day. They understood what kind the food to people can eat it. 
When they saw a lot of old picture, as if, they came back the same time, and they how to live in the past.
Book is knowledge, when they read the book. They can understand the history development. 
Clothes are important needs to us in every day. When they found it and know what kind the fashion in that time. All in all, in my time capsule, it was true life. 
",Chinese
"Stephen William Hawking was born in Oxford, England, on January 8, 1942. He studied physics at Oxford University, then completed his Ph.D at Cambridge University in the field of theoretical physics. In 1979 he was appointed Lucasian Professor of Mathematics at Cambridge, a position once held by Sir Isaac Newton. He has had motor neurone disease for practically all his adult life. He wasn't able to do any sports or physical activities. Also,he wasn't able to move all his fingers,he could only move a few fingers. He could only communicate by a twitch in his right cheek. Hawking was able to startled the worlds of mathematics and physics in 1974 with his discovery that black holes emit radiation. This fact was contrary to all the prevailing theories at the time. ""My body may be confined to this chair. But with the Internet my mind can go to the ends of the earth."" He said.",Arabic
"
? LIST

the desk is in front of, on the right edge
the desk is between book chests.
Bed is on the left corner, next to the dress room.
Dress room on the left side, in front of bed.
My room center has the heart shape rug.





I have little furniture in my favorite room.
I have desk, bookcase, bed and small dress room. When you enter the room, you can see dress room on the left side, I have my bed next to the dress room. I have desk between the two book cases. The desk is on the right edge which is S-shape of desk. I have one big window, in front of the desk. Sometime, I look the outside, during study. Its make me feel better to study. Lastly, I have lovely heart shape rug on the floor. It makes my room looks lovelier, and I love my room.
",Korean
I will buy some food and drinks.,Arabic
"
 Last week when I went to buy a lot of food. I got several for food because my friends want visit me in my house. I bought many vegetables and fruits. Then, I went to the store to bought a little of meat. After that, I bought a great deal of candy and nuts .
 



",Arabic
"Here are some steps to plan a party at home. First, you should decide the suitable number of the guests and the date you give the party. Then, choose the best party style that everybody can enjoy. For example, if you have a garden, you can give a barbecue party in summer, it is a so relaxed and happy party style. After that, invite your guests to the home party by mail or by telling them directly. Next, prepare the food and some dink for your party. Finally, make up your room looks pleasant and proper for the party style. You can decorate the table with a beautiful bouquet, or put a bright and colorful cover on the table. These steps are easy and clear to plan a party.

In fact, the most important thing is preparing the food for your party. I think that it is also a hard job. First, you should make a list of the party food. Then, buy some cooking ingredients that you need such as vegetables, rice, and other food. If you give a barbecue party, you should buy enough meet, vegetables and sauce, you also prepare some beer, wine or other soft drink. Next, start cooking and set up the table before the guests come to your house. At last, wait for your guests to come, and enjoy the time of the party! This is good chance to show them your cooking skill. 
",Chinese
"On February 20th , 2012, I and my friends made a time capsule for our memories.

I decided to put some kinds of fast food that we used to eat.

Also, I put several coins and a little money.

One of my friends put a lot of seeds that when it becomes rice.

He also put some pictures that their family pictures.

 Another my friend, he tried to put his bike and baseball gloves.

And, he wanted to put more his stuff but there were no space anymore.

After that, we closed the time capsule and put under the White House.
",Korean
"could you tell our poss that I have to go to the dentist on Wednesday,because I cann't go anther day.",Arabic
Do you know the significance behined columbus day ? ,Arabic
"My room is sunny.
",Arabic
"I usually go to ski resort on the weekend. But in this weekend I am going to change my schedule. First, I am going to go to shopping mall. I need a clothes for winter. When I came here, I hadn't known how much cold here is. In the result, I didn't afford winter jacket. Next, I am going to clean my house. Actually, I have never cleaned my house since I moved here. Now my house is mess. When I lived in my country, a maid has cleaned my house, however, I have to clean the house by my self from now. Last, I am going to go to Japanese Restaurant, Kiku where is located in Station Square. I like Japanese food, especially a Sushi. Last Sunday I went there. I have enjoyed the Sushi and several fried foods. I hope this weekend will be also wonderful holiday, and will be able to do three things I have planed.",Korean
"Right now, i wold like obtain the TOEFL test(take the high degree in the test)
i can obtain it by working hard in the school and make some practicing with American people. ",Arabic
"""Saving energy"" is one of the most important things in today's world. Everyone knows that the sources of energy are limited. We will have no more energy to use in the future if we waste and do not do anything to save energy. We can do small things to begin saving the energy by ourselves. For example, first, I always go to school or back home by bus, or walk to supermarket. Using the public transportation is the best way to save gasoline. Second, I usually do laundry by myself if I can instead of using the washing machine. Most underwear and T-shirts can be hand-washed easily. It's a way to save electricity. Third, I use fans instead of air conditioner, or I open the windows of my apartment making the air flow through the room. It's not only a good way to save the energy, but also good for my health. 
",Chinese
"Yes, I like cooking dishes that are CHALLENGING to make, because I love to cook difficult ABNORMAL food. ",Arabic
I'll cook a break for him,Korean
"(f)
pittsburgh Is not as famous as Philadelphia
it Is not as famous as Philadelphia",Arabic
"Her name is Amy my best friend.
She is a student in University of pittsburgh.
She is very friendly,out-going and really nice woman. She smile often that her smile is cute.",Korean
Computer is the most useful invention for everyone.,Chinese
"In this issue of Students Around the world, Young Min Kim interviews an American university student, Lisa Conroy.",Korean
"Writing homework
Wind 
Sand
Sea bird 
Cold sea 
Smell the sea 
Have a beer, BBQ
 
 I like chilling at the beach, by the time you get off the car, you will feel wind blows your face, remember to put on your coat. Then don't forget to take off your shoes because you already step on the sand, you will feel like having a foot massage form nature.
 Look forward, you can see lots of sea birds flying in the sky, what are they doing? They are trying to rub some fish from the fisher man
 Now you step on the sea, though your foot may feel cold, but you fell enjoyable in your mind/
 Take a deep breath, what did you feel? Wow! That is the smelling of the nature. At this moment you fell like don't want to doing anything.
 Having a bottle of beer it is amazing!!!",Chinese
" In last Summer,I went to Egypt with my family. I was going to theire to take a training in Project Manager. I was taking alot of clothes and I was taking enough medicine to my doughter. I was taking some mask to protection my family. I saw many poor people. I saw a little equipment in my trainig. I saw several places like Alahramt and Alhousain. In conclusion I taked alot of advantages from my trip.",Arabic
"I have three cousins. They are Juyong, Jusung and Philip. The oldest cousin is Juyong. Jusung is younger than Juyong. Phillip is the same age as Jusung. Both Jusung and Phillip are highschool student. Jusung and Phillip were born in the same year. Phillip is taller than Jusung. I think Jusung is more hansome than Philip. Juyoug is a girl. Juyoung is the shortest. 
",Korean
"I can make foreign friends, and know different culture.",Chinese
common,Arabic
"ELI students should not be included with student groups from their home countries while concentrating on improving their English. During students study in ELI, they should try to speak English as much as possible.  
",Korean
is able to,Arabic
"First advantage, ELI teachers are professional and have a good ways to let the lessons interesting with some fun .For example, they do practice in every lesson to do it as a group or individual. Moreover, they collect between serious and fun in their explanation after that they gave the practice by fun ways.",Arabic
"Ball
Team members
Field
Judgement 

The soccer and football are one of the most popular sports in the world. The similarities between soccer and football both are a collective game played by the ball and both of these are popular sport. Also both are play in the stadium rectangular in shape between two teams. In addition, in soccer each team consists of 11 players in the field and the football is too. In these sports both teams have a particular uniform. Both run by the referees and resolved by goals. The soccer is as excited as the football. Finally both sports are played around the world.
",Arabic
" ANON_NAME_0 is on of the famous soccer players. He has been player since 1996. He has won tow awards, one for the best player for three seasons and the other one for his participated in the world cup in 2006. He has been the leader for Saudis team since 1998. He speaks three languages. He has been student of studying English for a long time. He has had his cups for four years and medals. ",Arabic
I don't know,Arabic
[F] It is not as famous as Philadelphia.,Chinese
If I want to write accurately witout a mistake I shoud memorize words and read too time.Also I should know what part of speech tis word.,Arabic
"""Why did you miss the bus?"" asked Mary.",Chinese
ate,Arabic
"I had a reunion with my friens.
They were taking ELI course last term.
Also they are taking other course now.
we hadn't seen each other in so long, 
we had so much to say.
so I was so glad to be able to see them today.

",Korean
"She has a gadget that lets her send e-mail , play games , and take notes .",Chinese
"Teenagers are the majority group of population in my country -Saudi Arabia-. Teenager's level is critical part in each of us lives because they are basic of any countries. First, they have many things unacceptable. For example, their behaviors and characteristics sometimes is against their culture. They aren't interested for the routine customs and traditional things. So, they try to do many abnormal things. Usually, they try to show up through some wrong activities that only to let their parents know how they are able to change the rules. One of the worst behaviors is the irresponsibility. They don't listen for the advices of their parents. In fact, they don't expect the risks that will happen for their careless action. Everyday, there are many things appears on the life. This group is always the first who looks and wait for many things. For instance, when they hear there is a new fashion or modern wear, you will find the teenagers there and you are lucky if you are able to find place between them in such places. 

 Finally, most of them passed the exams, but they can't understand and add something good for their knowledge. The reason is they don't have objectives or goals for their life. They are thinking only for just the moments. Unfortunately, they will be unhappy and have bad feelings, when they try to understand that the time is over. 
",Arabic
"I felt very embarrass when I came here one month 
ago, but now I don't be afraid even I waste more 
time to organize a sentence when I speak. No, they aren't. I think to make mistakes are useful to practice English, and you will remember them more than before even don't forget them.",Chinese
"Even though you are angry, you should not yell to your wife.",Korean
Violent election is a political question of collision that the media are focusing on in my country.,Chinese
"1-The most important event that happened annually in country is Haj.
2-The second impotant event that happend annually in country is Aeed Fater.
3-Every year dates festival exists in my region.",Arabic
She doesn't go to restaurants. She is make meals with roommates. She is try to walk or ride bicycle to college and she is a lot of clothes at second-hand stores.,Arabic
My favorite color is yellow.,Chinese
"I agree that variety is the spice of life. I lived and studied in Taiwan. Most of the people who live in Taiwan will go to college when they finish high school. But I decided to learn English in America. Then, I feel it is exciting for me to have a different experience. Because I never real had a conversation with native English speaker. Also, this is my first time to live without family. I have to do everything by myself. So I find that I am more mature than before. Moreover my English is better than before. Variety makes my life more exciting and interesting. I would like to have a lot of variety in my life.",Chinese
she saves enough money,Chinese
be able to,Korean
did not use to ride,Korean
"Oct 16, 2006-10-16
Dear Li,
 I moved into a new apartment in recent. I changed my telephone number. My new telephone number is : 412-615-1072. Please call me if you are free.
 I told you that I want to buy a car last letter. In recent, I have discovered two different used cars. I both like them, but I only buy one. One car was made in Japan(Nissan ,1998), and another car was made in German (Jetta 1995). I prefer to choose jetta for two reasons. First, I think jetta is safer than Nissan. I have often read some reports about cars made in German are more firm than cars made in Japan. Taking German car is more security than taking Japan car. Second, The Jetta is cheaper than Nissan. But I like the Nissan car for two reasons. First, The Nissan is newer than the Jetta. Another reason is the Nissan has lasted less miles than that of the Jetta. The engine of two cars are very good. It's so hard to choose one. Could you give me some advice.
 Best regards

",Chinese
"Fantastic Galaxy tour

You can take Fantastic Galaxy tour by Enterprise space ship where movie 'Star trek' was taken.
Enterprise space ship has luxury hotel, fitness cetner, restaurants, 3D theater, Amusement Park, Casino and Shopping center. so you will have fun everyday while you will take a travel.
you will see such an incredibly wonderful sight in your life 

schedule;

Mervury- you will swim safely without water at large space pool 

Venus- Night Safari tour in a private spaceship, 
 You will observe beautiful earthscape
 Reservation is required!!!!
Mars- You will watch Mars Aboriginal performance - <War Of The Space Worlds> 

Jupiter- You can snowboard riding on jupiter's circle 

Saturn- Massage service, you will feel like a new man

Uranus- Galaxy Zoo tour - unusual space animals are waitting for you

Neptune-Space food buffet dinner 

If you will select more 5 planets, you will get bonus Moon tour. :-)
",Korean
"composition#3

owning a small car has several advantages:
 A small car is easier to the park. A small car doesn't need to a lot of gas. A small car always cheaper than big car. A small car doesn't make Trouble with travel. A small car is easy to drive. always there is challenge between the car Companies. A Small car is your arm in the face of financial crisis and high fuel prices. There are many of companies producing cars Toyota,Land-rover,Chevrolet and Honda. 

As you can see all the people today prefer the small car.

 ",Arabic
" Nowadays we are living in many TV commercials. But, I hate TV commercials cause several thing. First, I think that TV commercials have a bad influence as sexist and racist commercials. Sometimes they bring out crime. Next, there are too many non efficiency TV commercials for just make a commercial benefit. It is felt boring and annoying mind to me. Finally, there are some exaggerated commercials. I think this is the most important problem. Originally, TV commercials should have a true tip communication. As this result, I don't like TV commercials.",Korean
"I,ll leave at home",Korean
"Class: 3F
Teacher: ANON_NAME_0

 March19,2007 
 
Dear Father,

 Long time no see. How have you been? These days, I really miss Korean things, especially Korean food like Kim-chee. You know, if I want to keep Kim-chee, I must buy a refrigerator. I found two advertisements for refrigerators in a magazine. I can't decide between the $399 refrigerator and the $999 refrigerator. The $999 refrigerator has electronic touch temperature control, so if the refrigerator needs to lower its temperature, it changes by itself because it has a sensor. On the other hand, the $399 refrigerator doesn't have a sensor. Also, the $999 refrigerator has more space than the $399 refrigerator. However, the $399 refrigerator is cheaper and costs less to operate than the $999 refrigerator. I wish I could buy the $999. However, I don't have enough money to buy it. I decided that I'll buy the $399 refrigerator. If I buy a refrigerator,could you please send me some Kim-chee? Before sending Kim-chee, please call me please. My phone number is: 412-555-5555. Thanks, Father.
 
 Love,
 Your son. 
",Korean
Economic and finacial crisis is the most important issue in the world today. Because there are many people lose their job and fall into the finacial problem.,Chinese
"I think reading is like traveling. When we read the book we can join the writer's feeling, imagine, and experiences etc. Also, we can be a main actor or can be observer in that story. After that,We can follow the story's flowing every each day while reading a book. According we can travel in the book by our imagine so we can extend our life story.",Korean
I think my challenge is speaking class when I do my speech in fluency.,Chinese
"If you want to enter university in the United states, you should study English harder.",Chinese
Spanish is similar to Portuguese.,Korean
" If I have a time capsule,I will put somethings there.First of all,I will put photos there.If my future generations find them,they can see what I look like and know what popular is from the photos.Second,I will put newspaper,they can understand what happened in my time.Finally,I will puy my diary,they can know what my life is according to it.I think a time capsule is very interesting,maybe I will get one as soon as possible.",Chinese
"Me: Do you mind if I borrow your car for my friend Anna driving me to see the concert? Mom. 
Mom: Sure. Here is the key.
Me: May you be careful when you drive? Anna.
Anna: Yes. I may.

",Chinese
"I think teenagers can drink alcohol in their own home when they are with their parents ,because his parents can take care of him .",Chinese
"Hello Michael Jordan. nice to meet you:)
Can i ask for you about basketball in your life?""
first,""what do you think about basketball?""
second, ""when did you start a basketball?
third, ""why did you start to play the basketball?""
next question is ""how much did you got a salary about the basketball?""
finally, ""when you retired from basketball, what did you feel to change about your life?""
thank you for your answer.",Korean
"She was happy on Oct. 27. 
She went to a school party. She met new friends. She talked about our country. they are going sightseeing together. 
Also, Kenji who Japanese guy wants me to write for the student newpaper here at school.",Korean
annoyed,Chinese
smell is so bad.,Chinese
"Nominate: to choose someone for a particular job or position: Margaret was nominated club representative. 
* Verb.

Guardian: formal a person or organization that tries to protect something.
* Noun.

Provide for: to make plans in order to deal with something that might happen in the future: the hotel is examining ways to provide for the disabled.
* Verb.

Secure: safe and protected from danger: the bank's deposits remain secure.
* adj.

Stable: calm, reasonable, and not easy to upset: he was clearly not a very stable person.
* adj.

Declaration: important statement about something: a declaration of war.
* Noun.

Intention: something that you plan to do: I have no intention of retiring anytime soon.
* Noun.
",Arabic
"A Korean National Team Swimmer

 One of the things that I became successful it was swimming. I was a swimmer for 15 years, and I was a korean national team swimmer for 3 years. I began swimming in 1988, and I was 8 years old at that time. My hope was to be a national team swimmer. However, when I was 14 years old, I knew that I wasn't better than other swimmers, because I had never won a competition until then. It was true I didn't have a special talent for swimming. Therefore, I thought I needed harder training to be a national team swimmer. I used to swim for 4 hours a day. My coach in Korea asked me to swim harder. I even had to swim in a cold pool in the early morning as soon as I got up. I hated that, but the harder I trained, the better I swam. Finally, I overcame all training, and I could be a national team swimmer.",Korean
"The English Language Institute (ELI) is a good place to study foreign language. There are a lot of students in the English Language Institute (ELI). First, there are students from different countries. All the students like the English Language Institute (ELI), because there are a lot of students from Saudi Arabia, Libya, Korea, china, Columbia and Taiwan. It has a lot of activities there also ""ANON_NAME_0 helps the students for fun and the activities."" Yvonne said. Second, the ELI has a good system to learn the English language. The ELI has good ways or rules for students. All the teachers are the same. The ELI has a good adviser likes Stac and ANON_NAME_1. If any students have any problems, the adviser helps him or her. I asked some students from different counties about ELI. ANON_NAME_2 AL mesver was studying in the ELI his from Saudi Arabia. He said,"" Because I found appropriate for ELI there are provisional teacher and this institute in ELI is close to academic life, and I want to get accepts from University of Pittsburgh."". However, The ELI a good place to study any language. I asked some person from Libya his was studying in ELI .His name is ANON_NAME_2 AL Essay. ANON_NAME_2 AL Essay said, ""The ELI is a good place to learn English, Also they have a strong system and stable program. The teachers are good to give the students a good ways to learn English here."" Javier Pirazen from Columbia was studying in ELI studying in ELI this semester. He said,"" The ELI teachers are special in language."" This semester it has forty percent students from Korea. After that 66.67 present there have five courses this semester, but 14.67 present have one course. There 37 percent are female and 63 percent are male. This year it has a lot of students. I think this is a great way to make a lot of friends here in the Unite Strait. Then the ELI is a better place to learn any language then the ELI is old building in Pittsburgh. ",Arabic
The specific qualities that I look for in a friend that he has to be goodhearted and outgoing .,Arabic
ANON_NAME_0 is my best friend. He was born in 1968 in Libya and grew up there. He has been my friend since 1997. He has gotten BS degree since 1990. He has loved sports since he was a child. He has married since 2002. He has lived in Pittsburgh for six months. He has gotten car since 2002. He has studied English language for six months. He hasn't eaten Bazen since 2007. He hasn't visited his country for six months. He hasn't been more two kids for two years. I can learn more things from successful friend. ,Arabic
